item_id,source_item_id,source_row,title,riddle_text,solution_text,target_word,network_target_word,network_target_aliases,mechanism_type,mechanism_summary,surface_misdirection,hidden_premise,anchor_candidates,cue_candidates,anchor_word,cue_word,target_anchor_bin,target_cue_bin,target_anchor_distance,target_cue_distance,target_anchor_prob,target_cue_prob,target_in_embedding,anchor_in_embedding,cue_in_embedding,target_kappa,target_theta,anchor_kappa,anchor_theta,cue_kappa,cue_theta,semantic_ready,quality_ready,quality_score,semantic_model_fit_score,known_story_risk,unsafe_content_flag,surface_leakage_risk,fantasy_flag,gore_flag,extreme_gore_flag,recommended_for_first_pass,recommended_for_stage1,recommended_for_stage2,source_url,license_note,difficulty_raw,difficulty_numeric,manual_keep,manual_comment,suggested_stage,ethics_filter_version,stage1_design_version,original_suggested_stage,target_cue_score_mean,anchor_cue_distance,anchor_cue_prob_mean,anchor_cue_score_mean,stage1_anchor_relation_goal,stage1_cue_selection_relaxed
spx_0026,splat_0026,25,鞋子与保险箱,睡觉前，女人把一只鞋子锁进了保险箱。为什么？,她是一名空乘，在酒店过夜时，把重要文件放进保险箱。为了提醒自己早上带走文件，她将一只鞋子也放了进去。,提醒,提醒,,hidden_rule,Using an object as a reminder for an important task.,The woman locked the shoe away for security reasons.,The shoe serves as a mnemonic device for remembering to take the important documents.,鞋子,文件|锁|重要|记忆|旅行|航空公司|酒店,鞋子,脚趾甲,near,low,136.971101914229,1398.3264479653412,0.0043186758049422,0.00033213599765178345,True,True,True,124.242,0.675464,330.314,2.64556,49.4373,3.68566,True,True,85.0,100.0,low,low,medium,False,False,False,True,True,False,https://github.com/chenqi008/LateralThinking,SPLAT releases the compiled dataset from publicly accessible websites; keep attribution and avoid redistributing raw text outside research materials without checking downstream license.,7/10 HARD,7,,"adult low-risk auto-selected; excludes self-harm, graphic bodily harm, sexual violence, lethal weapons/poison/explosion, minor-sensitive content, high-arousal crime/accident, supernatural/fantasy, and unpleasant bodily/waste terms",stage1,adult_low_risk_v3,balanced_stage1_v2_relabel_20260725,stage1,42.0,181.73155670231856,0.0003171712237117042,42.0,far,False
spx_0860,splat_0860,859,嗒，嗒，嗒,发生了什么？……嗒，嗒，嗒，嗒，嗒，嗒，嗒，叮当。等等。“四十二？”,一位盲人来到公交站等42路车。他用盲杖探路找到站牌，摸读盲文时刻表确认站点正确，然后每停下一辆车就问司机是不是42路。,导航,导航,,physical_constraint,The blind man uses sound and touch to navigate and confirm his bus route.,The sounds are unrelated to the blind man's actions at the bus stop.,The blind man is waiting for a specific bus and uses his cane to interact with his environment.,公交车,盲人|公交站|手杖|声音|确认,公交车,盲人,near,far,26.087383283906664,1139.7900941579364,0.0264255267592191,0.0004163512951252,True,True,True,77.9044,1.69759,225.597,1.85828,94.6867,4.64431,True,True,85.0,100.0,low,low,medium,False,False,False,True,True,False,https://github.com/chenqi008/LateralThinking,SPLAT releases the compiled dataset from publicly accessible websites; keep attribution and avoid redistributing raw text outside research materials without checking downstream license.,6/10 MEDIUM,6,,"adult low-risk auto-selected; excludes self-harm, graphic bodily harm, sexual violence, lethal weapons/poison/explosion, minor-sensitive content, high-arousal crime/accident, supernatural/fantasy, and unpleasant bodily/waste terms",stage2,adult_low_risk_v3,balanced_stage1_v2_relabel_20260725,stage1,,,,,,
spx_0013,splat_0013,12,图书馆,一个女人走进图书馆，拿起一本书，然后哭了起来。,这个女人是一位作家，她曾向图书馆捐赠了自己的一本书，并在书页中夹了一张50美元钞票作为给第一个借阅者的礼物。一年后，她回到图书馆，拿起那本书，发现钞票还在里面。意识到没有人读过她的书，她忍不住哭了。,失望,失望,,social_script_violation,The woman's emotional reaction stems from the realization that her book was never read.,The woman is upset for an unknown reason after picking up a book.,The woman is the author of the book and is disappointed that no one borrowed it.,哭,作者|礼物|图书馆|书|读者|情感|反应,哭,期盼,near,mid,9.574181594477997,44.75219405329436,0.0759865671076417,0.0014921585051556547,True,True,True,357.886,5.2157,459.511,4.66387,106.163,5.81163,True,True,85.0,100.0,low,low,medium,False,False,False,True,True,False,https://github.com/chenqi008/LateralThinking,SPLAT releases the compiled dataset from publicly accessible websites; keep attribution and avoid redistributing raw text outside research materials without checking downstream license.,6/10 MEDIUM,6,,"adult low-risk auto-selected; excludes self-harm, graphic bodily harm, sexual violence, lethal weapons/poison/explosion, minor-sensitive content, high-arousal crime/accident, supernatural/fantasy, and unpleasant bodily/waste terms",stage1,adult_low_risk_v3,balanced_stage1_v2_relabel_20260725,stage1,53.0,67.13035843090822,0.009453546785690149,66.0,near,False
spx_0797,splat_0797,796,墙,背靠着墙，他知道一切都结束了。他是谁？墙是什么？什么结束了？,他是一名棒球比赛中的外野手。墙是棒球场外围的围墙。有人打出了本垒打，所以比赛结束了。,棒球,棒球,,perspective_shift,The context of a baseball game leads to an unexpected interpretation of the situation.,The character is in a dire personal situation against a wall.,"The character is a baseball outfielder, and the wall is the outfield fence.",墙,比赛|外野手|本垒打|结束|围墙|得分|基地,墙,俱乐部,near,low,26.181964352501343,224.9579431123719,0.026322760669099,0.0002505206034862712,True,True,True,109.268,2.05594,301.814,2.35856,88.3037,1.2952,True,True,85.0,100.0,low,low,medium,False,False,False,True,True,False,https://github.com/chenqi008/LateralThinking,SPLAT releases the compiled dataset from publicly accessible websites; keep attribution and avoid redistributing raw text outside research materials without checking downstream license.,6/10 MEDIUM,6,,"adult low-risk auto-selected; excludes self-harm, graphic bodily harm, sexual violence, lethal weapons/poison/explosion, minor-sensitive content, high-arousal crime/accident, supernatural/fantasy, and unpleasant bodily/waste terms",stage1,adult_low_risk_v3,balanced_stage1_v2_relabel_20260725,stage1,40.0,113.8410814150294,0.005293673844311206,62.0,near,False
spx_0049,splat_0049,48,跳机,一名男子从飞机上跳了下来，他活了下来。,飞机当时并没有在飞行。,地面,地面,,temporal_misdirection,The man jumped from a stationary plane.,The plane was in flight when the man jumped.,The plane was on the ground or not flying.,飞机,跳|生存|静止|坠落|飞机|安全|地面|高度,飞机,静止,near,mid,13.52318539153049,344.72353667829526,0.0531483210954482,0.0015605757730591772,True,True,True,228.758,2.57762,553.761,1.97722,111.952,5.76665,True,True,85.0,100.0,low,low,medium,False,False,False,True,True,False,https://github.com/chenqi008/LateralThinking,SPLAT releases the compiled dataset from publicly accessible websites; keep attribution and avoid redistributing raw text outside research materials without checking downstream license.,1/10 EASY,1,,"adult low-risk auto-selected; excludes self-harm, graphic bodily harm, sexual violence, lethal weapons/poison/explosion, minor-sensitive content, high-arousal crime/accident, supernatural/fantasy, and unpleasant bodily/waste terms",stage1,adult_low_risk_v3,balanced_stage1_v2_relabel_20260725,stage1,53.0,114.77216921264045,0.005246453181875368,62.0,near,False
spx_0213,splat_0213,212,马的攻击,一匹马攻击了一位女王，但女王身上没有一丝伤痕。这是怎么回事？,它们其实是国际象棋中的棋子：女王是“后”，马是“骑士”。,国际象棋,国际象棋,,category_shift,The situation involves chess pieces rather than real animals.,"A horse attacked a queen, implying a physical confrontation.",The horse and queen are chess pieces on a chessboard.,女王,棋盘|棋子|游戏|策略|骑士|将死,女王,策略,mid,mid,454.99400650037035,199.58674865459483,0.0011486081209607,0.0028522125537493,True,True,True,51.2752,0.830101,133.141,1.91875,134.558,0.347474,True,True,85.0,100.0,low,low,medium,False,False,False,True,True,False,https://github.com/chenqi008/LateralThinking,SPLAT releases the compiled dataset from publicly accessible websites; keep attribution and avoid redistributing raw text outside research materials without checking downstream license.,2/10 EASY,2,,"adult low-risk auto-selected; excludes self-harm, graphic bodily harm, sexual violence, lethal weapons/poison/explosion, minor-sensitive content, high-arousal crime/accident, supernatural/fantasy, and unpleasant bodily/waste terms",stage2,adult_low_risk_v3,balanced_stage1_v2_relabel_20260725,stage1,,,,,,
spx_0723,splat_0723,722,糖果制造商,一家糖果制造商有数千名工人。他们从不罢工或要求更好的待遇。他们每天工作长达二十小时，除了食物和住所外没有工资。但每年都会更换全新的工人，没有一名老工人被重新雇用。为什么？,这些工人实际上是蜂巢里的蜜蜂。蜜蜂生产蜂蜜（糖果），每天工作很长时间，只得到食物和住所，而且每年蜂群会更换新蜂。,蜜蜂,蜜蜂,,role_reversal,"The workers are not human but bees, which have a different lifecycle and work structure.",The workers are human employees who should be treated like typical laborers.,The workers are bees that produce honey and have a natural cycle of life.,工人,蜂蜜|蜂巢|自然|生产|生命周期|蜂群|授粉,工人,生产,near,mid,96.11458625645004,223.59603640454372,0.0063763799348105,0.0025163694048538,True,True,True,124.039,3.31099,355.516,1.8255,201.093,1.35628,True,True,85.0,100.0,low,low,medium,False,False,False,True,True,False,https://github.com/chenqi008/LateralThinking,SPLAT releases the compiled dataset from publicly accessible websites; keep attribution and avoid redistributing raw text outside research materials without checking downstream license.,5/10 MEDIUM,5,,"adult low-risk auto-selected; excludes self-harm, graphic bodily harm, sexual violence, lethal weapons/poison/explosion, minor-sensitive content, high-arousal crime/accident, supernatural/fantasy, and unpleasant bodily/waste terms",stage2,adult_low_risk_v3,balanced_stage1_v2_relabel_20260725,stage1,,,,,,
spx_0788,splat_0788,787,戒指与湖,一对即将结婚的男女在湖边，男人摘下女人的戒指扔进湖里。女人大喊：“谢谢！！”为什么？,他们正在湖边跳伞，女人降落伞的拉环卡住了，男人帮她拉了下来。,救援,救援,,rescue_not_harm,The man is helping the woman by removing a dangerous obstruction.,The man is throwing away the woman's engagement ring out of anger or frustration.,"The woman's parachute was stuck, and the ring was a part of the mechanism that needed to be removed.",戒指,降落伞|湖|安全|帮助|障碍|坠落|危险,戒指,穿上,near,mid,47.03453497777438,342.62610428702476,0.0139468101102006,0.0015711269820079875,True,True,True,143.341,1.97657,180.962,2.40417,44.9965,2.75109,True,True,85.0,100.0,low,low,medium,False,False,False,True,True,False,https://github.com/chenqi008/LateralThinking,SPLAT releases the compiled dataset from publicly accessible websites; keep attribution and avoid redistributing raw text outside research materials without checking downstream license.,6/10 MEDIUM,6,,"adult low-risk auto-selected; excludes self-harm, graphic bodily harm, sexual violence, lethal weapons/poison/explosion, minor-sensitive content, high-arousal crime/accident, supernatural/fantasy, and unpleasant bodily/waste terms",stage1,adult_low_risk_v3,balanced_stage1_v2_relabel_20260725,stage1,53.0,121.56265918542432,0.004924933833808161,62.0,near,False
spx_0897,splat_0897,896,快钟与慢钟,每天，在某个时刻，我的钟看起来快了一个小时；而在另一个时刻，它看起来慢了一个小时。但实际上，它既不快也不慢。钟出了什么问题？,钟的数字显示中，小时数字左下角的液晶灯坏了，导致数字6看起来像5，数字8看起来像9。因此，当实际时间是6点时，显示为5点（看起来慢一小时）；当实际时间是8点时，显示为9点（看起来快一小时）。而在2点、10点和12点时，显示正常，但能看出钟有故障。,故障,故障,,measurement_artifact,A malfunction in the clock's display causes misinterpretation of the time.,The clock is running fast or slow.,"The LCD segment for certain hour digits is broken, altering their appearance.",快,显示|时间|钟|数字|故障|液晶|坏了|小时,快,显示,near,far,1.6142916346965397,540.2508433931813,0.3706142399328826,0.0009501098489204,True,True,True,113.142,1.74107,367.581,1.7646,78.5612,0.0580455,True,True,85.0,100.0,low,low,medium,False,False,False,True,True,False,https://github.com/chenqi008/LateralThinking,SPLAT releases the compiled dataset from publicly accessible websites; keep attribution and avoid redistributing raw text outside research materials without checking downstream license.,6/10 MEDIUM,6,,"adult low-risk auto-selected; excludes self-harm, graphic bodily harm, sexual violence, lethal weapons/poison/explosion, minor-sensitive content, high-arousal crime/accident, supernatural/fantasy, and unpleasant bodily/waste terms",stage2,adult_low_risk_v3,balanced_stage1_v2_relabel_20260725,stage1,,,,,,
spx_0816,splat_0816,815,奇怪的情况,一个男人看到一块手表后，就不再吸烟了。请解释原因。,这个男人是一名志愿者，接受另一个人的催眠。那块手表是催眠师用来催眠的、挂在链子上摇晃的手表。,催眠,催眠,,hidden_rule,Hypnosis leads to behavior change.,The man stopped smoking due to seeing a watch.,The watch was used as a hypnotic tool.,手表,行为改变|志愿者|催眠师|戒烟|工具|链子|摇晃,手表,链子,mid,far,299.65854855559235,653.6236256207598,0.0018216096781513,0.0007697745218217,True,True,True,112.573,5.75252,177.122,1.56343,98.366,2.00604,True,True,85.0,100.0,low,low,medium,False,False,False,True,False,True,https://github.com/chenqi008/LateralThinking,SPLAT releases the compiled dataset from publicly accessible websites; keep attribution and avoid redistributing raw text outside research materials without checking downstream license.,6/10 MEDIUM,6,,"adult low-risk auto-selected; excludes self-harm, graphic bodily harm, sexual violence, lethal weapons/poison/explosion, minor-sensitive content, high-arousal crime/accident, supernatural/fantasy, and unpleasant bodily/waste terms",stage2,adult_low_risk_v3,balanced_stage1_v2_relabel_20260725,stage2,,,,,,
